Unnamed: 0,id,A,B,C,D,lab
56,56,a1,"[0.0,10.0)",c3,d4,l3
57,57,a2,"[20.0,30.0]",c1,d4,l2
58,58,a1,"[20.0,30.0]",c2,d2,l3
59,59,a1,"[20.0,30.0]",c2,d2,l2
60,60,a2,"[10.0,20.0)",c3,d4,l3
61,61,a1,"[20.0,30.0]",c1,d3,l3
62,62,a2,"[10.0,20.0)",c1,d1,l1
63,63,a2,"[20.0,30.0]",c2,d2,l2
64,64,a2,"[20.0,30.0]",c1,d4,l2
65,65,a2,"[20.0,30.0]",c3,d4,l3
66,66,a1,"[20.0,30.0]",c3,d3,l2
67,67,a1,"[10.0,20.0)",c3,d4,l3
68,68,a2,"[20.0,30.0]",c2,d2,l1
69,69,a2,"[20.0,30.0]",c1,d2,l2
70,70,a2,"[0.0,10.0)",c1,d4,l1
71,71,a1,"[0.0,10.0)",c1,d4,l3
72,72,a1,"[0.0,10.0)",c1,d4,l1
73,73,a1,"[20.0,30.0]",c1,d1,l3
74,74,a2,"[20.0,30.0]",c3,d4,l2
75,75,a2,"[20.0,30.0]",c1,d2,l3
76,76,a2,"[0.0,10.0)",c3,d1,l3
77,77,a1,"[0.0,10.0)",c1,d1,l1
78,78,a1,"[10.0,20.0)",c3,d2,l2
79,79,a2,"[10.0,20.0)",c2,d3,l3
80,80,a1,"[20.0,30.0]",c2,d3,l2
81,81,a1,"[10.0,20.0)",c2,d4,l3
82,82,a2,"[20.0,30.0]",c3,d4,l2
83,83,a1,"[20.0,30.0]",c2,d3,l2
84,84,a1,"[20.0,30.0]",c1,d3,l3
85,85,a1,"[20.0,30.0]",c1,d1,l1
86,86,a1,"[20.0,30.0]",c1,d4,l2
87,87,a2,"[10.0,20.0)",c1,d1,l2
88,88,a2,"[10.0,20.0)",c3,d2,l1
89,89,a1,"[20.0,30.0]",c3,d3,l2
90,90,a2,"[20.0,30.0]",c1,d1,l2
91,91,a2,"[20.0,30.0]",c3,d3,l1
92,92,a1,"[10.0,20.0)",c2,d3,l1
93,93,a1,"[10.0,20.0)",c3,d2,l1
94,94,a2,"[10.0,20.0)",c3,d3,l2
95,95,a2,"[0.0,10.0)",c1,d3,l2
96,96,a2,"[10.0,20.0)",c1,d2,l3
97,97,a2,"[0.0,10.0)",c1,d2,l1
98,98,a2,"[10.0,20.0)",c1,d1,l2
99,99,a1,"[20.0,30.0]",c3,d2,l3
100,100,a1,"[20.0,30.0]",c1,d2,l1
101,101,a2,"[0.0,10.0)",c2,d2,l3
102,102,a1,"[0.0,10.0)",c2,d3,l2
103,103,a1,"[0.0,10.0)",c3,d2,l1
104,104,a2,"[10.0,20.0)",c1,d1,l1
105,105,a1,"[10.0,20.0)",c3,d1,l2
106,106,a1,"[10.0,20.0)",c3,d1,l3
107,107,a2,"[10.0,20.0)",c3,d3,l1
108,108,a2,"[20.0,30.0]",c3,d2,l1
109,109,a1,"[20.0,30.0]",c3,d4,l2
110,110,a1,"[0.0,10.0)",c1,d1,l1
111,111,a2,"[20.0,30.0]",c2,d2,l2
112,112,a2,"[20.0,30.0]",c3,d4,l3
113,113,a1,"[20.0,30.0]",c1,d4,l2
114,114,a2,"[10.0,20.0)",c2,d3,l2
115,115,a2,"[20.0,30.0]",c3,d3,l3
116,116,a2,"[20.0,30.0]",c2,d3,l3
117,117,a2,"[0.0,10.0)",c3,d3,l3
118,118,a2,"[0.0,10.0)",c1,d2,l1
119,119,a2,"[10.0,20.0)",c2,d4,l1
120,120,a1,"[10.0,20.0)",c3,d3,l1
121,121,a1,"[0.0,10.0)",c2,d2,l1
122,122,a2,"[10.0,20.0)",c3,d2,l1
123,123,a2,"[0.0,10.0)",c3,d2,l1
124,124,a1,"[10.0,20.0)",c2,d4,l3
125,125,a1,"[10.0,20.0)",c3,d2,l1
126,126,a1,"[0.0,10.0)",c3,d3,l1
127,127,a2,"[20.0,30.0]",c3,d3,l1
128,128,a2,"[10.0,20.0)",c1,d2,l1
129,129,a1,"[0.0,10.0)",c3,d1,l2
130,130,a2,"[10.0,20.0)",c1,d1,l2
131,131,a1,"[20.0,30.0]",c1,d3,l2
132,132,a2,"[20.0,30.0]",c1,d1,l2
133,133,a1,"[0.0,10.0)",c2,d3,l2
134,134,a2,"[20.0,30.0]",c2,d1,l2
135,135,a1,"[10.0,20.0)",c3,d3,l2
136,136,a2,"[10.0,20.0)",c3,d3,l3
137,137,a2,"[20.0,30.0]",c3,d4,l2
138,138,a2,"[20.0,30.0]",c1,d4,l1
139,139,a2,"[20.0,30.0]",c3,d2,l2
140,140,a2,"[20.0,30.0]",c2,d4,l1
141,141,a2,"[10.0,20.0)",c2,d3,l1
142,142,a1,"[0.0,10.0)",c3,d2,l2
143,143,a1,"[10.0,20.0)",c2,d3,l1
144,144,a1,"[10.0,20.0)",c3,d1,l2
145,145,a2,"[20.0,30.0]",c3,d2,l1
146,146,a1,"[20.0,30.0]",c1,d1,l2
147,147,a2,"[0.0,10.0)",c2,d4,l2
148,148,a2,"[10.0,20.0)",c3,d2,l1
149,149,a1,"[20.0,30.0]",c1,d4,l3
150,150,a1,"[0.0,10.0)",c1,d2,l1
151,151,a1,"[0.0,10.0)",c1,d2,l2
152,152,a2,"[20.0,30.0]",c3,d2,l2
153,153,a1,"[20.0,30.0]",c3,d3,l2
154,154,a2,"[10.0,20.0)",c3,d2,l1
155,155,a1,"[10.0,20.0)",c2,d1,l1
156,156,a1,"[10.0,20.0)",c2,d4,l1
157,157,a2,"[10.0,20.0)",c3,d2,l2
158,158,a2,"[10.0,20.0)",c1,d4,l3
159,159,a1,"[10.0,20.0)",c3,d1,l2
160,160,a1,"[10.0,20.0)",c2,d1,l2
161,161,a1,"[20.0,30.0]",c2,d2,l1
162,162,a1,"[0.0,10.0)",c1,d1,l3
163,163,a2,"[0.0,10.0)",c3,d4,l3
164,164,a2,"[10.0,20.0)",c3,d4,l2
165,165,a2,"[20.0,30.0]",c1,d3,l3
166,166,a2,"[0.0,10.0)",c2,d1,l1
167,167,a1,"[0.0,10.0)",c1,d1,l1
168,168,a2,"[20.0,30.0]",c1,d1,l3
169,169,a1,"[0.0,10.0)",c1,d2,l1
170,170,a1,"[10.0,20.0)",c2,d2,l1
171,171,a2,"[0.0,10.0)",c3,d4,l3
172,172,a1,"[0.0,10.0)",c3,d3,l1
173,173,a2,"[0.0,10.0)",c1,d4,l3
174,174,a2,"[0.0,10.0)",c1,d3,l1
175,175,a2,"[10.0,20.0)",c2,d1,l2
176,176,a1,"[20.0,30.0]",c3,d3,l3
177,177,a2,"[0.0,10.0)",c3,d3,l3
178,178,a1,"[10.0,20.0)",c1,d2,l3
179,179,a2,"[0.0,10.0)",c2,d2,l1
180,180,a1,"[10.0,20.0)",c2,d2,l3
181,181,a1,"[20.0,30.0]",c2,d1,l3
182,182,a1,"[0.0,10.0)",c3,d1,l3
183,183,a2,"[20.0,30.0]",c1,d4,l2
184,184,a1,"[10.0,20.0)",c1,d1,l2
185,185,a2,"[20.0,30.0]",c1,d4,l3
186,186,a2,"[0.0,10.0)",c2,d2,l3
187,187,a1,"[20.0,30.0]",c3,d2,l2
188,188,a2,"[0.0,10.0)",c2,d1,l1
189,189,a2,"[10.0,20.0)",c1,d4,l2
190,190,a2,"[0.0,10.0)",c2,d1,l1
191,191,a1,"[10.0,20.0)",c2,d3,l3
192,192,a1,"[20.0,30.0]",c1,d4,l3
193,193,a2,"[0.0,10.0)",c2,d2,l1
194,194,a1,"[10.0,20.0)",c1,d4,l1
195,195,a1,"[10.0,20.0)",c3,d4,l2
196,196,a2,"[20.0,30.0]",c2,d2,l1
197,197,a2,"[10.0,20.0)",c3,d3,l3
198,198,a1,"[20.0,30.0]",c3,d1,l1
199,199,a2,"[0.0,10.0)",c1,d3,l1
200,200,a1,"[20.0,30.0]",c3,d3,l2
201,201,a2,"[20.0,30.0]",c3,d2,l1
202,202,a1,"[0.0,10.0)",c3,d1,l1
203,203,a2,"[0.0,10.0)",c3,d1,l3
204,204,a2,"[10.0,20.0)",c3,d1,l1
205,205,a2,"[10.0,20.0)",c3,d1,l3
206,206,a1,"[0.0,10.0)",c3,d2,l1
207,207,a1,"[10.0,20.0)",c2,d4,l2
208,208,a1,"[10.0,20.0)",c2,d3,l2
209,209,a1,"[0.0,10.0)",c1,d1,l3
210,210,a1,"[10.0,20.0)",c3,d4,l1
211,211,a1,"[10.0,20.0)",c1,d4,l1
212,212,a2,"[10.0,20.0)",c2,d3,l1
213,213,a1,"[10.0,20.0)",c3,d1,l3
214,214,a1,"[0.0,10.0)",c2,d3,l2
215,215,a2,"[0.0,10.0)",c1,d3,l3
216,216,a1,"[10.0,20.0)",c3,d3,l3
217,217,a1,"[20.0,30.0]",c2,d2,l2
218,218,a2,"[10.0,20.0)",c3,d3,l3
219,219,a1,"[10.0,20.0)",c1,d2,l3
220,220,a2,"[20.0,30.0]",c2,d4,l3
221,221,a1,"[20.0,30.0]",c2,d3,l3
222,222,a1,"[10.0,20.0)",c1,d1,l3
223,223,a1,"[10.0,20.0)",c3,d1,l2
224,224,a2,"[10.0,20.0)",c3,d3,l3
225,225,a2,"[20.0,30.0]",c2,d4,l2
226,226,a2,"[20.0,30.0]",c2,d3,l3
227,227,a2,"[10.0,20.0)",c2,d2,l2
228,228,a1,"[20.0,30.0]",c1,d2,l1
229,229,a2,"[20.0,30.0]",c3,d4,l2
230,230,a2,"[10.0,20.0)",c1,d4,l1
231,231,a2,"[0.0,10.0)",c1,d3,l3
232,232,a2,"[0.0,10.0)",c3,d1,l2
233,233,a1,"[20.0,30.0]",c2,d4,l2
234,234,a1,"[0.0,10.0)",c2,d1,l3
235,235,a1,"[10.0,20.0)",c3,d2,l3
236,236,a2,"[0.0,10.0)",c1,d1,l2
237,237,a2,"[20.0,30.0]",c3,d2,l1
238,238,a2,"[20.0,30.0]",c3,d3,l3
239,239,a1,"[20.0,30.0]",c3,d3,l2
240,240,a2,"[0.0,10.0)",c2,d1,l1
241,241,a2,"[0.0,10.0)",c1,d4,l2
242,242,a1,"[0.0,10.0)",c3,d2,l2
243,243,a1,"[20.0,30.0]",c2,d1,l2
244,244,a2,"[20.0,30.0]",c2,d2,l1
245,245,a1,"[0.0,10.0)",c2,d4,l3
246,246,a1,"[10.0,20.0)",c3,d4,l3
247,247,a2,"[0.0,10.0)",c1,d4,l3
248,248,a2,"[0.0,10.0)",c3,d4,l2
249,249,a1,"[0.0,10.0)",c1,d4,l3
250,250,a1,"[20.0,30.0]",c3,d1,l3
251,251,a2,"[0.0,10.0)",c2,d4,l3
252,252,a2,"[10.0,20.0)",c3,d4,l2
253,253,a1,"[0.0,10.0)",c2,d1,l1
254,254,a2,"[10.0,20.0)",c3,d4,l3
255,255,a1,"[0.0,10.0)",c1,d3,l1
256,256,a1,"[20.0,30.0]",c1,d1,l1
257,257,a1,"[20.0,30.0]",c2,d1,l2
258,258,a1,"[10.0,20.0)",c2,d1,l2
259,259,a1,"[10.0,20.0)",c1,d1,l2
260,260,a1,"[20.0,30.0]",c1,d3,l3
261,261,a2,"[10.0,20.0)",c1,d2,l3
262,262,a1,"[20.0,30.0]",c1,d2,l3
263,263,a1,"[10.0,20.0)",c1,d1,l2
264,264,a1,"[10.0,20.0)",c2,d2,l3
265,265,a2,"[10.0,20.0)",c1,d3,l2
266,266,a1,"[10.0,20.0)",c2,d3,l1
267,267,a2,"[10.0,20.0)",c3,d3,l1
268,268,a2,"[10.0,20.0)",c3,d3,l2
269,269,a2,"[20.0,30.0]",c1,d2,l2
270,270,a1,"[0.0,10.0)",c1,d1,l3
271,271,a2,"[10.0,20.0)",c1,d4,l1
272,272,a2,"[20.0,30.0]",c3,d3,l3
273,273,a1,"[0.0,10.0)",c3,d4,l2
274,274,a2,"[0.0,10.0)",c2,d4,l2
275,275,a2,"[10.0,20.0)",c2,d4,l2
276,276,a1,"[20.0,30.0]",c1,d3,l2
277,277,a1,"[10.0,20.0)",c3,d2,l1
278,278,a1,"[20.0,30.0]",c2,d4,l3
279,279,a1,"[0.0,10.0)",c2,d4,l2
280,280,a1,"[0.0,10.0)",c1,d1,l3
281,281,a1,"[20.0,30.0]",c1,d1,l1
282,282,a1,"[0.0,10.0)",c1,d1,l3
283,283,a1,"[0.0,10.0)",c2,d3,l3
284,284,a1,"[20.0,30.0]",c3,d2,l1
285,285,a2,"[20.0,30.0]",c1,d3,l3
286,286,a2,"[20.0,30.0]",c1,d2,l3
287,287,a2,"[20.0,30.0]",c2,d2,l1
288,288,a2,"[0.0,10.0)",c3,d1,l1
289,289,a2,"[10.0,20.0)",c1,d2,l1
290,290,a1,"[0.0,10.0)",c2,d3,l1
291,291,a2,"[20.0,30.0]",c3,d1,l1
292,292,a2,"[0.0,10.0)",c1,d2,l3
293,293,a2,"[10.0,20.0)",c1,d4,l3
294,294,a1,"[20.0,30.0]",c2,d1,l3
295,295,a2,"[20.0,30.0]",c2,d4,l1
296,296,a1,"[0.0,10.0)",c3,d3,l2
297,297,a2,"[10.0,20.0)",c1,d2,l2
298,298,a2,"[20.0,30.0]",c1,d1,l3
299,299,a2,"[0.0,10.0)",c2,d2,l3
300,300,a1,"[20.0,30.0]",c1,d2,l1
301,301,a2,"[10.0,20.0)",c3,d2,l3
302,302,a1,"[10.0,20.0)",c2,d2,l2
303,303,a2,"[0.0,10.0)",c2,d3,l2
304,304,a1,"[20.0,30.0]",c2,d2,l2
305,305,a2,"[0.0,10.0)",c2,d4,l1
306,306,a1,"[10.0,20.0)",c3,d1,l3
307,307,a2,"[10.0,20.0)",c2,d1,l2
308,308,a1,"[10.0,20.0)",c3,d3,l2
309,309,a1,"[0.0,10.0)",c3,d2,l2
310,310,a2,"[20.0,30.0]",c3,d4,l3
311,311,a2,"[10.0,20.0)",c2,d4,l2
312,312,a2,"[10.0,20.0)",c2,d3,l1
313,313,a2,"[20.0,30.0]",c2,d1,l2
314,314,a1,"[20.0,30.0]",c1,d3,l2
315,315,a2,"[0.0,10.0)",c3,d2,l2
316,316,a2,"[0.0,10.0)",c1,d3,l3
317,317,a1,"[20.0,30.0]",c2,d4,l1
318,318,a2,"[0.0,10.0)",c1,d4,l1
319,319,a2,"[10.0,20.0)",c2,d3,l2
320,320,a2,"[0.0,10.0)",c2,d4,l2
321,321,a1,"[20.0,30.0]",c2,d3,l2
322,322,a1,"[10.0,20.0)",c1,d2,l2
323,323,a2,"[20.0,30.0]",c3,d1,l2
324,324,a1,"[0.0,10.0)",c3,d4,l2
325,325,a1,"[20.0,30.0]",c3,d3,l1
326,326,a2,"[20.0,30.0]",c2,d4,l1
327,327,a2,"[0.0,10.0)",c1,d1,l1
328,328,a1,"[0.0,10.0)",c1,d1,l3
329,329,a2,"[10.0,20.0)",c2,d3,l3
330,330,a2,"[20.0,30.0]",c1,d2,l2
331,331,a1,"[20.0,30.0]",c2,d2,l1
332,332,a2,"[0.0,10.0)",c3,d4,l3
333,333,a1,"[0.0,10.0)",c2,d3,l2
334,334,a2,"[0.0,10.0)",c1,d1,l1
335,335,a2,"[0.0,10.0)",c1,d1,l2
336,336,a1,"[0.0,10.0)",c3,d4,l2
337,337,a2,"[10.0,20.0)",c3,d4,l1
338,338,a2,"[20.0,30.0]",c1,d2,l1
339,339,a2,"[0.0,10.0)",c1,d3,l2
340,340,a2,"[0.0,10.0)",c3,d3,l2
341,341,a2,"[10.0,20.0)",c2,d3,l2
342,342,a2,"[20.0,30.0]",c3,d1,l1
343,343,a2,"[10.0,20.0)",c3,d1,l2
344,344,a2,"[20.0,30.0]",c1,d3,l2
345,345,a1,"[10.0,20.0)",c3,d4,l3
346,346,a1,"[10.0,20.0)",c1,d4,l2
347,347,a2,"[0.0,10.0)",c2,d1,l2
348,348,a2,"[0.0,10.0)",c1,d4,l1
349,349,a1,"[10.0,20.0)",c1,d2,l1
350,350,a1,"[10.0,20.0)",c2,d1,l3
351,351,a2,"[0.0,10.0)",c2,d2,l3
352,352,a2,"[0.0,10.0)",c3,d4,l3
353,353,a2,"[10.0,20.0)",c1,d4,l1
354,354,a1,"[0.0,10.0)",c3,d4,l2
355,355,a1,"[10.0,20.0)",c2,d4,l3
356,356,a1,"[10.0,20.0)",c3,d4,l3
357,357,a1,"[0.0,10.0)",c1,d2,l1
358,358,a2,"[20.0,30.0]",c2,d1,l3
359,359,a1,"[20.0,30.0]",c1,d1,l3
360,360,a2,"[0.0,10.0)",c1,d4,l1
361,361,a1,"[0.0,10.0)",c2,d2,l1
362,362,a2,"[10.0,20.0)",c3,d2,l1
363,363,a2,"[0.0,10.0)",c1,d2,l1
364,364,a1,"[20.0,30.0]",c1,d3,l1
365,365,a2,"[10.0,20.0)",c2,d3,l1
366,366,a2,"[20.0,30.0]",c1,d1,l3
367,367,a2,"[0.0,10.0)",c2,d1,l2
368,368,a2,"[0.0,10.0)",c2,d2,l3
369,369,a2,"[10.0,20.0)",c3,d3,l2
370,370,a2,"[20.0,30.0]",c1,d4,l1
371,371,a1,"[20.0,30.0]",c3,d4,l3
372,372,a2,"[20.0,30.0]",c2,d4,l2
373,373,a1,"[20.0,30.0]",c1,d1,l3
374,374,a1,"[0.0,10.0)",c3,d3,l3
375,375,a2,"[20.0,30.0]",c2,d2,l3
376,376,a2,"[10.0,20.0)",c2,d3,l1
377,377,a2,"[10.0,20.0)",c1,d2,l3
378,378,a1,"[20.0,30.0]",c1,d2,l1
379,379,a2,"[20.0,30.0]",c2,d3,l2
380,380,a1,"[0.0,10.0)",c2,d2,l2
381,381,a1,"[0.0,10.0)",c1,d4,l2
382,382,a2,"[10.0,20.0)",c1,d2,l1
383,383,a2,"[10.0,20.0)",c3,d2,l3
384,384,a2,"[10.0,20.0)",c3,d1,l1
385,385,a2,"[0.0,10.0)",c3,d4,l2
386,386,a2,"[0.0,10.0)",c1,d3,l2
387,387,a1,"[10.0,20.0)",c3,d2,l1
388,388,a1,"[20.0,30.0]",c2,d2,l3
389,389,a2,"[20.0,30.0]",c2,d2,l1
390,390,a1,"[10.0,20.0)",c3,d3,l1
391,391,a1,"[0.0,10.0)",c2,d1,l2
392,392,a2,"[20.0,30.0]",c2,d2,l1
393,393,a2,"[10.0,20.0)",c3,d2,l3
394,394,a2,"[0.0,10.0)",c3,d1,l1
395,395,a2,"[0.0,10.0)",c3,d4,l1
396,396,a2,"[0.0,10.0)",c3,d2,l1
397,397,a1,"[10.0,20.0)",c2,d3,l2
398,398,a2,"[10.0,20.0)",c1,d1,l2
399,399,a1,"[0.0,10.0)",c1,d3,l3
400,400,a1,"[0.0,10.0)",c1,d4,l1
401,401,a2,"[0.0,10.0)",c2,d2,l2
402,402,a1,"[0.0,10.0)",c3,d4,l1
403,403,a1,"[10.0,20.0)",c2,d2,l2
404,404,a2,"[10.0,20.0)",c3,d1,l2
405,405,a2,"[20.0,30.0]",c2,d4,l1
406,406,a2,"[10.0,20.0)",c3,d3,l1
407,407,a1,"[10.0,20.0)",c2,d1,l2
408,408,a1,"[20.0,30.0]",c2,d3,l2
409,409,a1,"[20.0,30.0]",c3,d2,l1
410,410,a1,"[20.0,30.0]",c3,d2,l2
411,411,a1,"[0.0,10.0)",c3,d4,l1
412,412,a2,"[20.0,30.0]",c3,d2,l1
413,413,a1,"[20.0,30.0]",c3,d1,l1
414,414,a2,"[10.0,20.0)",c1,d1,l3
415,415,a2,"[20.0,30.0]",c3,d3,l3
416,416,a2,"[10.0,20.0)",c2,d4,l1
417,417,a2,"[10.0,20.0)",c1,d1,l3
418,418,a2,"[10.0,20.0)",c1,d2,l2
419,419,a1,"[0.0,10.0)",c3,d4,l3
420,420,a1,"[20.0,30.0]",c2,d3,l1
421,421,a1,"[0.0,10.0)",c3,d3,l3
422,422,a2,"[10.0,20.0)",c1,d1,l3
423,423,a2,"[20.0,30.0]",c2,d1,l3
424,424,a1,"[20.0,30.0]",c3,d1,l2
425,425,a2,"[10.0,20.0)",c3,d3,l2
426,426,a2,"[0.0,10.0)",c1,d3,l3
427,427,a1,"[0.0,10.0)",c2,d1,l2
428,428,a1,"[0.0,10.0)",c1,d4,l1
429,429,a1,"[0.0,10.0)",c3,d3,l3
430,430,a2,"[20.0,30.0]",c1,d4,l3
431,431,a1,"[10.0,20.0)",c1,d1,l2
432,432,a2,"[10.0,20.0)",c2,d2,l2
433,433,a2,"[0.0,10.0)",c1,d4,l2
434,434,a1,"[20.0,30.0]",c3,d2,l1
435,435,a2,"[10.0,20.0)",c1,d1,l3
436,436,a1,"[0.0,10.0)",c3,d3,l2
437,437,a2,"[10.0,20.0)",c1,d2,l2
438,438,a1,"[0.0,10.0)",c3,d2,l2
439,439,a1,"[10.0,20.0)",c2,d1,l2
440,440,a2,"[0.0,10.0)",c2,d1,l2
441,441,a2,"[0.0,10.0)",c3,d3,l2
442,442,a2,"[0.0,10.0)",c3,d3,l3
443,443,a1,"[20.0,30.0]",c2,d1,l3
444,444,a1,"[10.0,20.0)",c2,d2,l2
445,445,a2,"[0.0,10.0)",c3,d3,l1
446,446,a1,"[10.0,20.0)",c1,d2,l2
447,447,a2,"[0.0,10.0)",c3,d3,l2
448,448,a1,"[10.0,20.0)",c2,d1,l2
449,449,a1,"[0.0,10.0)",c1,d1,l2
450,450,a1,"[10.0,20.0)",c2,d2,l2
451,451,a2,"[10.0,20.0)",c3,d4,l1
452,452,a2,"[10.0,20.0)",c2,d4,l3
453,453,a1,"[10.0,20.0)",c1,d4,l3
454,454,a1,"[0.0,10.0)",c3,d1,l1
455,455,a2,"[20.0,30.0]",c1,d2,l3
456,456,a1,"[10.0,20.0)",c3,d2,l2
457,457,a2,"[0.0,10.0)",c3,d2,l2
458,458,a2,"[20.0,30.0]",c3,d2,l3
459,459,a2,"[20.0,30.0]",c3,d1,l3
460,460,a1,"[20.0,30.0]",c3,d3,l3
461,461,a1,"[20.0,30.0]",c3,d3,l3
462,462,a1,"[0.0,10.0)",c1,d3,l3
463,463,a1,"[20.0,30.0]",c2,d4,l3
464,464,a2,"[20.0,30.0]",c3,d3,l2
465,465,a1,"[20.0,30.0]",c1,d2,l2
466,466,a2,"[10.0,20.0)",c2,d3,l1
467,467,a1,"[20.0,30.0]",c2,d2,l2
468,468,a1,"[20.0,30.0]",c1,d3,l1
469,469,a2,"[0.0,10.0)",c2,d4,l3
470,470,a2,"[10.0,20.0)",c3,d3,l1
471,471,a1,"[20.0,30.0]",c1,d1,l3
472,472,a2,"[0.0,10.0)",c1,d2,l3
473,473,a2,"[20.0,30.0]",c3,d2,l2
474,474,a2,"[20.0,30.0]",c3,d4,l1
475,475,a1,"[10.0,20.0)",c1,d2,l2
476,476,a2,"[20.0,30.0]",c1,d2,l2
477,477,a1,"[20.0,30.0]",c2,d1,l2
478,478,a1,"[0.0,10.0)",c1,d4,l1
479,479,a2,"[10.0,20.0)",c1,d1,l1
480,480,a1,"[10.0,20.0)",c3,d3,l3
481,481,a1,"[0.0,10.0)",c3,d2,l1
482,482,a2,"[0.0,10.0)",c1,d4,l3
483,483,a1,"[20.0,30.0]",c2,d4,l3
484,484,a1,"[20.0,30.0]",c3,d2,l3
485,485,a1,"[0.0,10.0)",c1,d3,l2
486,486,a1,"[10.0,20.0)",c3,d4,l1
487,487,a1,"[20.0,30.0]",c2,d3,l2
488,488,a1,"[10.0,20.0)",c1,d1,l1
489,489,a2,"[0.0,10.0)",c3,d4,l2
490,490,a1,"[20.0,30.0]",c1,d2,l2
491,491,a1,"[20.0,30.0]",c1,d4,l3
492,492,a1,"[10.0,20.0)",c1,d4,l2
493,493,a2,"[20.0,30.0]",c2,d2,l3
494,494,a1,"[20.0,30.0]",c1,d1,l3
495,495,a2,"[20.0,30.0]",c2,d2,l1
496,496,a1,"[0.0,10.0)",c3,d4,l3
497,497,a1,"[20.0,30.0]",c1,d4,l1
498,498,a1,"[10.0,20.0)",c1,d4,l3
499,499,a1,"[20.0,30.0]",c2,d4,l1
500,500,a2,"[20.0,30.0]",c2,d1,l1
501,501,a1,"[0.0,10.0)",c3,d4,l3
502,502,a2,"[0.0,10.0)",c3,d1,l3
503,503,a1,"[0.0,10.0)",c3,d2,l2
504,504,a1,"[10.0,20.0)",c1,d3,l1
505,505,a1,"[10.0,20.0)",c2,d4,l3
506,506,a1,"[20.0,30.0]",c3,d1,l3
507,507,a1,"[10.0,20.0)",c3,d2,l2
508,508,a2,"[10.0,20.0)",c3,d1,l2
509,509,a1,"[0.0,10.0)",c3,d4,l1
510,510,a1,"[0.0,10.0)",c3,d3,l2
511,511,a1,"[20.0,30.0]",c3,d3,l3
512,512,a1,"[0.0,10.0)",c2,d3,l2
513,513,a1,"[0.0,10.0)",c1,d1,l2
514,514,a2,"[20.0,30.0]",c3,d2,l1
515,515,a2,"[10.0,20.0)",c1,d2,l1
