,id,A,B,C,D,lab
164,164,a2,b1,c3,d3,l1
165,165,a2,b1,c2,d2,l2
166,166,a1,b2,c1,d1,l2
167,167,a1,b1,c2,d1,l3
168,168,a2,b2,c2,d2,l1
169,169,a2,b2,c3,d4,l3
170,170,a2,b2,c1,d1,l1
171,171,a1,b2,c2,d3,l2
172,172,a1,b2,c3,d1,l2
173,173,a2,b2,c3,d1,l1
174,174,a2,b1,c3,d3,l3
175,175,a1,b1,c1,d2,l3
176,176,a1,b2,c1,d2,l3
177,177,a1,b1,c2,d4,l3
178,178,a1,b1,c3,d3,l1
179,179,a2,b2,c2,d1,l1
180,180,a1,b2,c2,d4,l1
181,181,a2,b2,c2,d1,l3
182,182,a1,b2,c1,d3,l2
183,183,a1,b2,c1,d3,l3
184,184,a1,b1,c1,d2,l3
185,185,a2,b2,c2,d1,l1
186,186,a1,b1,c1,d4,l3
187,187,a2,b1,c2,d2,l2
188,188,a2,b1,c1,d1,l1
189,189,a1,b2,c3,d2,l3
190,190,a1,b2,c3,d3,l2
191,191,a2,b1,c2,d3,l2
192,192,a2,b2,c3,d3,l1
193,193,a2,b2,c3,d2,l2
194,194,a2,b2,c3,d2,l1
195,195,a2,b2,c1,d2,l1
196,196,a1,b1,c2,d4,l2
197,197,a2,b2,c1,d2,l3
198,198,a2,b1,c1,d4,l2
199,199,a2,b2,c1,d1,l1
200,200,a2,b2,c3,d3,l3
201,201,a2,b2,c2,d3,l1
202,202,a1,b2,c2,d2,l2
203,203,a1,b1,c3,d2,l1
204,204,a2,b2,c2,d1,l2
205,205,a1,b2,c2,d2,l1
206,206,a1,b2,c1,d2,l2
207,207,a1,b1,c1,d4,l1
208,208,a2,b1,c1,d4,l3
209,209,a1,b1,c3,d2,l2
210,210,a1,b1,c2,d2,l1
211,211,a2,b1,c2,d1,l3
212,212,a1,b2,c3,d4,l2
213,213,a2,b2,c1,d2,l2
214,214,a1,b2,c1,d2,l2
215,215,a2,b1,c2,d1,l3
216,216,a2,b2,c3,d3,l3
217,217,a2,b1,c1,d3,l1
218,218,a1,b1,c1,d2,l1
219,219,a1,b1,c1,d4,l2
220,220,a2,b1,c3,d3,l3
221,221,a1,b2,c3,d2,l1
222,222,a1,b2,c3,d4,l2
223,223,a1,b2,c3,d2,l3
224,224,a1,b2,c2,d3,l2
225,225,a2,b2,c3,d1,l3
226,226,a1,b2,c1,d2,l1
227,227,a1,b2,c3,d4,l2
228,228,a2,b1,c2,d4,l3
229,229,a2,b2,c3,d1,l3
230,230,a1,b1,c3,d3,l2
231,231,a1,b1,c2,d1,l2
232,232,a2,b2,c3,d3,l2
233,233,a1,b1,c3,d2,l3
234,234,a2,b2,c1,d4,l3
235,235,a2,b1,c1,d4,l2
236,236,a1,b1,c1,d2,l3
237,237,a1,b2,c1,d3,l3
238,238,a2,b2,c2,d1,l1
239,239,a1,b1,c2,d4,l2
240,240,a1,b2,c1,d3,l1
241,241,a2,b1,c3,d4,l1
242,242,a1,b1,c3,d3,l3
243,243,a2,b1,c3,d4,l3
244,244,a2,b2,c2,d2,l2
245,245,a1,b1,c2,d4,l2
246,246,a2,b2,c2,d4,l3
247,247,a1,b2,c2,d1,l1
248,248,a1,b1,c3,d3,l1
249,249,a1,b2,c2,d1,l3
250,250,a2,b1,c3,d4,l1
251,251,a2,b1,c2,d3,l1
252,252,a2,b1,c3,d2,l1
253,253,a1,b1,c2,d1,l2
254,254,a2,b1,c3,d1,l1
255,255,a1,b1,c3,d1,l2
256,256,a1,b2,c1,d4,l3
257,257,a2,b1,c3,d3,l3
258,258,a1,b2,c2,d3,l1
259,259,a2,b1,c2,d1,l2
260,260,a1,b2,c1,d4,l1
261,261,a2,b2,c1,d3,l2
262,262,a1,b1,c1,d3,l3
263,263,a1,b1,c3,d1,l3
264,264,a2,b1,c1,d3,l2
265,265,a1,b1,c1,d1,l3
266,266,a1,b2,c3,d4,l2
267,267,a2,b2,c3,d1,l1
268,268,a1,b2,c1,d2,l1
269,269,a1,b1,c3,d1,l3
270,270,a1,b2,c1,d2,l3
271,271,a1,b2,c1,d1,l1
272,272,a1,b2,c2,d2,l1
273,273,a2,b1,c3,d4,l1
274,274,a2,b1,c1,d2,l1
275,275,a2,b2,c3,d4,l3
276,276,a2,b2,c2,d1,l3
277,277,a2,b2,c3,d4,l2
278,278,a2,b1,c2,d1,l3
279,279,a2,b1,c3,d1,l1
280,280,a1,b1,c1,d3,l1
281,281,a1,b2,c1,d4,l3
282,282,a1,b1,c1,d4,l2
283,283,a1,b2,c1,d3,l2
284,284,a2,b1,c3,d4,l2
285,285,a2,b1,c3,d1,l3
286,286,a1,b2,c3,d1,l1
287,287,a1,b1,c1,d2,l1
288,288,a2,b2,c2,d2,l2
289,289,a1,b2,c2,d2,l2
290,290,a1,b2,c3,d2,l1
291,291,a1,b1,c1,d4,l2
292,292,a1,b1,c2,d1,l2
293,293,a1,b2,c2,d3,l2
294,294,a2,b2,c1,d2,l2
295,295,a2,b1,c1,d2,l3
296,296,a2,b2,c3,d2,l3
297,297,a2,b1,c1,d2,l3
298,298,a1,b1,c1,d1,l2
299,299,a2,b2,c3,d2,l3
300,300,a2,b2,c3,d3,l2
301,301,a1,b2,c2,d4,l2
302,302,a1,b1,c2,d4,l3
303,303,a1,b2,c1,d2,l1
304,304,a2,b2,c3,d4,l1
305,305,a1,b1,c1,d2,l3
306,306,a2,b2,c1,d1,l2
307,307,a1,b2,c1,d4,l1
308,308,a2,b1,c1,d1,l1
309,309,a1,b1,c1,d2,l2
310,310,a2,b2,c1,d4,l1
311,311,a1,b2,c1,d4,l1
312,312,a2,b1,c1,d4,l3
313,313,a1,b2,c3,d4,l2
314,314,a1,b1,c3,d1,l3
315,315,a2,b2,c1,d4,l2
316,316,a2,b1,c1,d4,l3
317,317,a2,b1,c1,d1,l3
318,318,a1,b1,c1,d1,l2
319,319,a2,b2,c3,d4,l2
320,320,a2,b2,c2,d1,l2
321,321,a2,b1,c1,d1,l1
322,322,a1,b2,c3,d4,l3
323,323,a1,b1,c2,d2,l2
324,324,a2,b1,c2,d4,l2
325,325,a2,b1,c2,d3,l1
326,326,a2,b2,c2,d1,l1
327,327,a2,b1,c1,d4,l2
328,328,a1,b1,c1,d4,l1
329,329,a1,b1,c1,d3,l2
330,330,a2,b2,c1,d3,l1
331,331,a2,b2,c3,d2,l1
332,332,a2,b1,c1,d3,l1
333,333,a2,b1,c3,d3,l3
334,334,a2,b1,c1,d3,l2
335,335,a1,b1,c3,d2,l2
336,336,a2,b2,c3,d3,l1
337,337,a2,b2,c1,d2,l1
338,338,a1,b2,c3,d1,l3
339,339,a2,b1,c3,d4,l3
340,340,a1,b1,c1,d3,l3
341,341,a1,b1,c3,d1,l3
342,342,a1,b1,c2,d3,l2
343,343,a1,b1,c2,d2,l2
344,344,a2,b2,c3,d1,l2
345,345,a2,b2,c3,d2,l1
346,346,a2,b2,c1,d2,l1
347,347,a2,b2,c2,d3,l3
348,348,a1,b1,c3,d3,l3
349,349,a1,b2,c2,d3,l2
350,350,a2,b2,c2,d1,l2
351,351,a1,b1,c2,d3,l2
352,352,a2,b2,c3,d3,l2
353,353,a1,b2,c3,d3,l2
354,354,a1,b1,c1,d4,l3
355,355,a2,b2,c3,d4,l1
356,356,a1,b2,c1,d1,l1
357,357,a2,b2,c1,d4,l1
358,358,a1,b1,c2,d4,l1
359,359,a2,b1,c3,d2,l1
360,360,a1,b2,c1,d3,l2
361,361,a1,b2,c3,d2,l1
362,362,a2,b1,c1,d4,l2
363,363,a1,b1,c1,d4,l2
364,364,a2,b1,c2,d1,l1
365,365,a2,b2,c3,d1,l1
366,366,a2,b2,c1,d2,l3
367,367,a1,b1,c1,d3,l3
368,368,a2,b2,c1,d4,l1
369,369,a1,b1,c1,d4,l1
370,370,a1,b2,c1,d1,l2
371,371,a2,b1,c3,d3,l3
372,372,a2,b1,c3,d4,l3
373,373,a2,b1,c3,d2,l1
374,374,a2,b1,c1,d4,l2
375,375,a2,b2,c2,d3,l3
376,376,a1,b1,c1,d3,l2
377,377,a2,b2,c3,d1,l3
378,378,a2,b2,c1,d4,l2
379,379,a1,b2,c2,d4,l2
380,380,a1,b1,c2,d4,l3
381,381,a2,b2,c1,d4,l1
382,382,a1,b1,c1,d3,l3
383,383,a1,b2,c1,d4,l2
384,384,a2,b1,c3,d3,l3
385,385,a1,b2,c1,d4,l3
386,386,a2,b2,c3,d2,l3
387,387,a2,b2,c2,d1,l2
388,388,a1,b1,c1,d3,l3
389,389,a2,b1,c1,d2,l1
390,390,a1,b1,c3,d4,l3
391,391,a2,b2,c3,d3,l2
392,392,a1,b2,c1,d2,l1
393,393,a1,b2,c2,d4,l1
394,394,a2,b2,c1,d3,l1
395,395,a2,b2,c2,d4,l3
396,396,a2,b1,c3,d4,l2
397,397,a2,b2,c2,d4,l2
398,398,a1,b1,c1,d2,l1
399,399,a1,b2,c1,d4,l3
400,400,a2,b2,c1,d4,l3
401,401,a1,b1,c3,d2,l2
402,402,a1,b2,c2,d3,l1
403,403,a2,b2,c1,d4,l3
404,404,a2,b1,c3,d3,l3
405,405,a2,b2,c2,d1,l2
406,406,a1,b2,c1,d4,l3
407,407,a2,b1,c3,d2,l3
408,408,a2,b2,c1,d2,l1
409,409,a1,b2,c3,d1,l3
410,410,a1,b1,c3,d2,l3
411,411,a2,b2,c3,d2,l2
412,412,a1,b2,c1,d3,l3
413,413,a2,b2,c3,d4,l2
414,414,a1,b2,c1,d1,l3
415,415,a1,b2,c1,d2,l3
416,416,a1,b1,c3,d1,l3
417,417,a2,b1,c2,d2,l2
418,418,a2,b2,c3,d1,l2
419,419,a2,b2,c3,d1,l2
420,420,a1,b1,c3,d2,l3
421,421,a2,b2,c1,d4,l2
422,422,a1,b1,c2,d1,l2
423,423,a2,b1,c3,d4,l1
424,424,a1,b2,c3,d4,l3
425,425,a2,b1,c2,d4,l3
426,426,a1,b2,c3,d1,l1
427,427,a1,b2,c1,d2,l3
428,428,a1,b1,c3,d1,l2
429,429,a1,b2,c1,d1,l3
430,430,a2,b2,c3,d3,l3
431,431,a1,b1,c2,d3,l2
432,432,a2,b1,c2,d4,l2
433,433,a1,b2,c2,d2,l2
434,434,a2,b1,c3,d3,l3
435,435,a2,b1,c1,d4,l1
436,436,a1,b1,c2,d2,l1
437,437,a2,b1,c3,d2,l1
438,438,a2,b2,c2,d2,l3
439,439,a2,b1,c2,d1,l2
440,440,a1,b1,c1,d4,l2
441,441,a2,b1,c2,d1,l1
442,442,a1,b2,c2,d2,l2
443,443,a2,b1,c1,d2,l1
444,444,a2,b2,c1,d1,l1
445,445,a1,b1,c2,d3,l3
446,446,a1,b2,c3,d2,l3
447,447,a1,b1,c3,d4,l3
448,448,a2,b1,c2,d1,l1
449,449,a2,b2,c1,d3,l1
450,450,a2,b1,c1,d3,l1
451,451,a2,b2,c1,d3,l1
452,452,a1,b1,c3,d1,l1
453,453,a2,b1,c3,d4,l3
454,454,a1,b1,c1,d3,l3
455,455,a2,b1,c2,d2,l2
456,456,a2,b2,c1,d3,l3
457,457,a2,b1,c2,d3,l2
458,458,a2,b1,c1,d2,l3
459,459,a2,b2,c3,d2,l3
460,460,a1,b1,c2,d3,l1
461,461,a2,b1,c3,d2,l3
462,462,a1,b1,c1,d3,l2
463,463,a1,b1,c1,d3,l3
464,464,a1,b2,c1,d3,l2
465,465,a2,b2,c2,d4,l2
466,466,a1,b1,c1,d2,l3
467,467,a1,b1,c2,d4,l2
468,468,a1,b2,c3,d3,l1
469,469,a2,b1,c3,d3,l3
470,470,a2,b2,c3,d4,l3
471,471,a2,b1,c2,d1,l2
472,472,a2,b1,c3,d2,l1
473,473,a1,b2,c1,d4,l1
474,474,a2,b1,c3,d4,l3
475,475,a2,b2,c2,d4,l3
476,476,a1,b2,c2,d4,l2
477,477,a1,b2,c2,d2,l3
478,478,a2,b2,c3,d1,l1
479,479,a2,b2,c3,d2,l1
480,480,a2,b1,c1,d4,l1
481,481,a2,b2,c2,d2,l2
482,482,a2,b2,c1,d1,l1
483,483,a1,b1,c3,d1,l2
484,484,a1,b1,c1,d1,l2
485,485,a2,b2,c2,d2,l3
486,486,a2,b1,c1,d1,l1
487,487,a2,b2,c1,d1,l1
488,488,a2,b2,c3,d1,l1
489,489,a1,b1,c1,d2,l1
490,490,a2,b2,c1,d4,l3
491,491,a2,b2,c1,d3,l1
492,492,a1,b1,c1,d1,l3
493,493,a1,b1,c1,d1,l3
494,494,a2,b1,c1,d3,l2
495,495,a2,b1,c1,d4,l2
496,496,a2,b1,c2,d2,l3
497,497,a2,b2,c3,d3,l1
498,498,a2,b2,c2,d3,l1
499,499,a1,b1,c3,d3,l2
500,500,a2,b2,c3,d4,l1
501,501,a1,b1,c1,d4,l1
502,502,a1,b1,c1,d3,l2
503,503,a2,b1,c2,d1,l1
504,504,a2,b1,c3,d2,l3
505,505,a1,b1,c1,d1,l3
506,506,a2,b2,c3,d4,l2
507,507,a2,b1,c2,d1,l2
508,508,a1,b1,c2,d3,l2
509,509,a1,b1,c1,d2,l3
510,510,a2,b1,c1,d2,l3
511,511,a2,b2,c2,d2,l1
512,512,a1,b1,c2,d4,l1
513,513,a1,b2,c3,d3,l2
514,514,a2,b1,c3,d2,l1
515,515,a1,b1,c2,d3,l1
516,516,a2,b1,c3,d3,l1
517,517,a1,b2,c2,d4,l1
518,518,a1,b1,c3,d4,l1
519,519,a2,b2,c1,d4,l3
520,520,a1,b2,c2,d4,l2
521,521,a2,b2,c1,d4,l1
522,522,a1,b1,c1,d4,l2
523,523,a1,b2,c1,d4,l2
524,524,a1,b2,c2,d4,l1
525,525,a2,b2,c3,d1,l2
526,526,a2,b1,c1,d3,l3
527,527,a1,b2,c2,d1,l2
528,528,a2,b2,c1,d4,l2
529,529,a1,b1,c3,d4,l1
530,530,a1,b1,c1,d1,l3
531,531,a1,b2,c1,d2,l3
532,532,a1,b2,c1,d4,l1
533,533,a2,b1,c2,d1,l3
534,534,a2,b1,c1,d3,l2
535,535,a2,b1,c1,d3,l1
536,536,a1,b2,c3,d3,l3
537,537,a2,b1,c1,d3,l1
538,538,a2,b2,c1,d3,l2
539,539,a1,b1,c3,d4,l2
540,540,a2,b2,c3,d4,l3
541,541,a2,b2,c2,d4,l1
542,542,a2,b2,c1,d1,l1
543,543,a1,b2,c1,d1,l2
544,544,a1,b1,c1,d4,l1
545,545,a1,b1,c3,d1,l1
546,546,a1,b2,c3,d2,l2
547,547,a2,b1,c1,d1,l1
548,548,a1,b1,c2,d4,l3
549,549,a1,b2,c3,d4,l2
550,550,a2,b2,c2,d2,l2
551,551,a1,b1,c3,d4,l2
552,552,a2,b1,c1,d2,l3
553,553,a1,b2,c3,d4,l3
554,554,a2,b1,c1,d3,l3
555,555,a2,b1,c1,d1,l3
556,556,a2,b2,c3,d4,l1
557,557,a1,b2,c3,d3,l2
558,558,a1,b2,c1,d3,l1
559,559,a1,b1,c3,d2,l3
560,560,a2,b2,c2,d2,l3
561,561,a1,b2,c1,d3,l3
562,562,a2,b1,c3,d4,l1
563,563,a1,b2,c2,d4,l3
564,564,a1,b1,c1,d1,l3
565,565,a1,b1,c2,d3,l2
566,566,a2,b2,c1,d4,l2
567,567,a1,b2,c1,d2,l1
568,568,a2,b1,c2,d4,l1
569,569,a1,b1,c3,d4,l3
570,570,a1,b2,c1,d3,l3
571,571,a1,b2,c3,d2,l3
572,572,a1,b2,c2,d2,l3
573,573,a2,b1,c2,d2,l3
574,574,a2,b2,c3,d3,l2
575,575,a1,b2,c1,d1,l2
576,576,a2,b2,c2,d1,l2
577,577,a2,b2,c1,d1,l2
578,578,a1,b2,c1,d4,l2
579,579,a2,b2,c2,d4,l3
580,580,a2,b2,c2,d4,l2
581,581,a1,b2,c3,d2,l1
582,582,a2,b1,c1,d4,l2
583,583,a2,b2,c1,d3,l3
584,584,a1,b2,c2,d3,l2
585,585,a1,b1,c3,d3,l1
586,586,a2,b2,c1,d2,l1
587,587,a2,b1,c1,d2,l3
588,588,a1,b1,c2,d3,l1
589,589,a2,b1,c3,d4,l2
590,590,a2,b2,c2,d2,l2
591,591,a2,b2,c3,d2,l3
592,592,a1,b2,c2,d1,l3
593,593,a2,b2,c3,d2,l3
594,594,a2,b1,c2,d4,l1
595,595,a1,b2,c3,d3,l1
596,596,a2,b2,c2,d3,l2
597,597,a1,b1,c3,d4,l3
598,598,a2,b2,c2,d2,l2
599,599,a2,b2,c3,d2,l3
600,600,a1,b2,c2,d1,l3
601,601,a1,b2,c2,d1,l1
602,602,a2,b2,c1,d1,l3
603,603,a2,b2,c3,d2,l3
604,604,a2,b2,c3,d1,l1
605,605,a2,b1,c3,d4,l2
606,606,a2,b2,c2,d2,l2
607,607,a1,b1,c2,d1,l3
608,608,a1,b1,c1,d3,l2
609,609,a2,b1,c1,d1,l3
610,610,a2,b1,c3,d2,l3
611,611,a1,b2,c3,d4,l1
612,612,a2,b1,c2,d2,l3
613,613,a2,b1,c1,d2,l2
614,614,a1,b1,c3,d4,l1
615,615,a1,b2,c3,d1,l1
616,616,a2,b1,c1,d4,l2
617,617,a1,b2,c2,d4,l3
618,618,a1,b1,c3,d1,l3
619,619,a1,b1,c1,d2,l2
620,620,a2,b2,c1,d1,l3
621,621,a2,b2,c3,d4,l2
622,622,a1,b1,c3,d2,l1
623,623,a1,b2,c1,d1,l1
624,624,a2,b1,c2,d3,l2
625,625,a2,b1,c1,d1,l2
626,626,a1,b2,c1,d1,l3
627,627,a1,b2,c3,d2,l2
628,628,a2,b2,c2,d2,l3
629,629,a2,b1,c2,d1,l1
630,630,a1,b2,c2,d3,l2
631,631,a2,b2,c3,d1,l1
632,632,a2,b1,c3,d2,l1
633,633,a2,b1,c2,d1,l3
634,634,a2,b2,c1,d2,l2
635,635,a2,b1,c3,d2,l2
636,636,a1,b1,c1,d2,l3
637,637,a2,b2,c1,d1,l2
638,638,a1,b2,c1,d3,l1
639,639,a1,b1,c1,d4,l3
640,640,a1,b2,c2,d4,l1
641,641,a1,b2,c2,d2,l1
642,642,a2,b2,c2,d4,l2
643,643,a2,b2,c2,d2,l2
644,644,a2,b2,c1,d1,l2
645,645,a2,b2,c1,d4,l2
646,646,a2,b2,c3,d2,l2
647,647,a1,b2,c3,d2,l1
648,648,a2,b2,c3,d3,l3
649,649,a1,b1,c1,d2,l1
650,650,a1,b1,c2,d2,l2
651,651,a1,b1,c1,d4,l2
652,652,a1,b2,c1,d3,l3
653,653,a2,b1,c2,d2,l3
654,654,a1,b2,c2,d4,l2
655,655,a2,b1,c2,d4,l1
656,656,a1,b2,c2,d1,l2
657,657,a2,b1,c2,d1,l2
658,658,a2,b2,c3,d2,l1
659,659,a2,b2,c1,d3,l1
660,660,a1,b2,c3,d3,l1
661,661,a1,b1,c1,d2,l3
662,662,a1,b1,c1,d1,l2
663,663,a2,b2,c1,d3,l1
664,664,a1,b2,c1,d1,l3
665,665,a2,b1,c2,d4,l2
666,666,a2,b1,c3,d2,l3
667,667,a1,b1,c1,d1,l3
668,668,a2,b2,c1,d2,l1
669,669,a1,b1,c3,d4,l3
670,670,a2,b1,c1,d3,l2
671,671,a1,b2,c3,d2,l1
672,672,a2,b1,c2,d1,l2
673,673,a1,b2,c2,d1,l2
674,674,a2,b2,c1,d2,l3
675,675,a1,b2,c2,d3,l3
676,676,a1,b1,c1,d1,l2
677,677,a2,b1,c2,d1,l1
678,678,a2,b2,c2,d3,l2
679,679,a2,b1,c2,d4,l2
680,680,a2,b2,c1,d3,l2
681,681,a1,b1,c1,d2,l1
682,682,a2,b1,c1,d3,l3
683,683,a2,b1,c1,d1,l1
684,684,a2,b2,c2,d1,l2
685,685,a1,b2,c3,d1,l1
686,686,a1,b2,c1,d1,l3
687,687,a1,b1,c2,d4,l1
688,688,a1,b2,c1,d4,l1
689,689,a2,b2,c1,d2,l1
690,690,a1,b2,c1,d1,l1
691,691,a2,b1,c2,d3,l2
692,692,a1,b1,c3,d3,l2
693,693,a1,b1,c1,d3,l2
694,694,a2,b2,c2,d3,l1
695,695,a2,b1,c2,d4,l3
696,696,a2,b1,c2,d1,l2
697,697,a2,b1,c3,d2,l2
698,698,a1,b1,c3,d1,l3
699,699,a2,b1,c3,d3,l1
700,700,a1,b1,c3,d3,l1
701,701,a1,b1,c3,d3,l3
702,702,a1,b2,c2,d2,l2
703,703,a1,b1,c1,d4,l1
704,704,a2,b1,c1,d4,l2
705,705,a1,b1,c3,d4,l3
706,706,a1,b1,c2,d3,l2
707,707,a1,b1,c3,d4,l2
708,708,a1,b2,c1,d1,l2
709,709,a1,b1,c3,d1,l2
710,710,a2,b2,c3,d4,l1
711,711,a2,b1,c1,d3,l2
712,712,a2,b1,c2,d4,l2
713,713,a2,b2,c3,d1,l1
714,714,a2,b2,c3,d3,l3
715,715,a2,b1,c1,d3,l1
716,716,a1,b1,c3,d1,l3
717,717,a1,b1,c3,d1,l2
718,718,a2,b2,c3,d4,l1
719,719,a1,b2,c1,d4,l1
720,720,a1,b1,c2,d3,l2
721,721,a2,b1,c2,d1,l2
722,722,a2,b1,c2,d4,l2
723,723,a1,b1,c1,d3,l3
724,724,a1,b2,c1,d2,l2
725,725,a1,b2,c2,d1,l3
726,726,a2,b1,c3,d2,l1
727,727,a1,b1,c1,d4,l1
728,728,a1,b2,c3,d1,l2
729,729,a1,b2,c1,d2,l2
730,730,a1,b2,c3,d3,l2
731,731,a1,b1,c3,d2,l3
732,732,a1,b1,c2,d1,l1
733,733,a2,b1,c2,d1,l1
734,734,a2,b2,c3,d4,l3
