image_tile_id,Weather,Hour_of_Day,Season,off_nadir_max,avg_pan_resolution,biome,CONTROL
96_10400100096C2500_tile_214,Snow,13.93333333,Spring,27.446131,0.382692,Boreal Forests/Taiga,3
113_1040010006ABC200_tile_59,Clear Skies,10.81666667,Winter,27.282673,0.375557,Flooded Grasslands & Savannas,1
15_104005000DDC3800_tile_66,Clear Skies,12.83333333,Autumn,25.794243,0.3725395,Temperate Broadleaf & Mixed Forests,2
67_104001003F0B3200_tile_490,Clear Skies,12.93333333,Summer,19.613453,0.3421295,Deserts & Xeric Shrublands,3
59_104001001DC7F200_tile_627,Clear Skies,10.26666667,Autumn,24.725229,0.3679665,Tropical & Subtropical Moist Broadleaf Forests,3
54_1040010024086400_tile_590,Cloud Cover or Haze,11.33333333,Autumn,22.079554,0.3504075,Flooded Grasslands & Savannas,1
45_1040010044AFF200_tile_24,Clear Skies,12.35,Autumn,9.989432,0.3168075,Temperate Broadleaf & Mixed Forests,3
6_1040010009874E00_tile_256,Cloud Cover or Haze,12.63333333,Spring,25.4655,0.366424,Temperate Broadleaf & Mixed Forests,2
98_104001000B9F7B00_tile_108,Clear Skies,12.06666667,Spring,10.155017,0.316172,"Temperate Grasslands, Savannas & Shrublands",2
5_104001000156CC00_tile_244,Clear Skies,11.78333333,Summer,18.890572,0.339533,Mangroves,1
120_1040010044D1B900_tile_30,Snow,13.61666667,Autumn,24.48224,0.3671705,Boreal Forests/Taiga,2
77_1040010040119E00_tile_664,Clear Skies,12.65,Summer,26.910341,0.3770965,Temperate Broadleaf & Mixed Forests,3
4_10400100101BE000_tile_826,Clear Skies,12.61666667,Autumn,28.466599,0.3846065,Temperate Conifer Forests,2
96_104001000896F900_tile_394,Snow,12.26666667,Spring,25.172054,0.372064,Boreal Forests/Taiga,2
96_10400100096C2500_tile_830,Snow,13.93333333,Spring,27.446131,0.382692,Boreal Forests/Taiga,3
56_104001000F345100_tile_136,Clear Skies,12.06666667,Summer,18.447948,0.324255,"Temperate Grasslands, Savannas & Shrublands",3
25_1040010017165100_tile_363,Clear Skies,11,Summer,22.619385,0.3547395,Tropical & Subtropical Moist Broadleaf Forests,1
115_104001004B8E2D00_tile_262,Clear Skies,11.96666667,Spring,14.023621,0.3185075,Temperate Broadleaf & Mixed Forests,1
99_104001001A4EEC00_tile_82,Clear Skies,12.26666667,Spring,28.33725,0.3859035,Temperate Broadleaf & Mixed Forests,3
111_1040010028163500_tile_573,Clear Skies,11.28333333,Spring,9.674176,0.316015,Deserts & Xeric Shrublands,3
96_10400100096C2500_tile_848,Snow,13.93333333,Spring,27.446131,0.382692,Boreal Forests/Taiga,3
86_1040010043890900_tile_322,Cloud Cover or Haze,12.5,Autumn,17.182943,0.3322295,Flooded Grasslands & Savannas,3
128_1040010032BA9100_tile_1787,Clear Skies,12.2,Autumn,20.564857,0.3473665,"Temperate Grasslands, Savannas & Shrublands",2
31_10400100443CFD00_tile_849,Clear Skies,11.73333333,Autumn,23.924757,0.360799,Tropical & Subtropical Moist Broadleaf Forests,3
69_104005000CDBE200_tile_3265,Clear Skies,13.23333333,Autumn,17.414585,0.336675,Temperate Broadleaf & Mixed Forests,1
67_104001003F0B3200_tile_292,Clear Skies,12.93333333,Summer,19.613453,0.3421295,Deserts & Xeric Shrublands,3
83_1040010032B86F00_tile_132,Cloud Cover or Haze,12.01666667,Summer,26.898964,0.372226,Temperate Broadleaf & Mixed Forests,1
18_1040050010DC4900_tile_3269,Clear Skies,12.11666667,Winter,25.62631,0.365993,Temperate Broadleaf & Mixed Forests,1
127_1040010022BC3B00_tile_589,Clear Skies,11.23333333,Autumn,26.010584,0.3563595,Mangroves,2
92_10400100447EE500_tile_428,Clear Skies,12.41666667,Autumn,27.977375,0.3846645,"Mediterranean Forests, Woodlands & Scrub",1
18_10400100211BDD00_tile_3646,Clear Skies,12.78333333,Autumn,10.872156,0.320573,Temperate Broadleaf & Mixed Forests,3
106_1040010043890900_tile_47,Cloud Cover or Haze,12.5,Autumn,17.182943,0.3322295,Flooded Grasslands & Savannas,1
18_1040050010DC4900_tile_2081,Clear Skies,12.11666667,Winter,25.62631,0.365993,Temperate Broadleaf & Mixed Forests,1
77_1040010040119E00_tile_663,Clear Skies,12.65,Summer,26.910341,0.3770965,Temperate Broadleaf & Mixed Forests,3
18_10400100211BDD00_tile_3437,Clear Skies,12.78333333,Autumn,10.872156,0.320573,Temperate Broadleaf & Mixed Forests,3
42_10400100055EA300_tile_662,Cloud Cover or Haze,11.45,Winter,25.167149,0.363917,Temperate Broadleaf & Mixed Forests,1
93_104001002A4FAA00_tile_1202,Clear Skies,11.93333333,Spring,26.912125,0.373755,Temperate Broadleaf & Mixed Forests,3
1_104005000FDC8D00_tile_40,Clear Skies,10.75,Winter,28.295317,0.3765895,"Mediterranean Forests, Woodlands & Scrub",3
117_104001000F945200_tile_218,Clear Skies,14.48333333,Summer,24.38106,0.3663905,Boreal Forests/Taiga,3
37_104001000EA43C00_tile_232,Clear Skies,12.03333333,Summer,23.065435,0.3583105,Temperate Broadleaf & Mixed Forests,1
18_10400100211BDD00_tile_3335,Clear Skies,12.78333333,Autumn,10.872156,0.320573,Temperate Broadleaf & Mixed Forests,3
60_1040010046430200_tile_276,Clear Skies,11.65,Winter,16.53186,0.3315465,Deserts & Xeric Shrublands,2
26_1040010011C6F000_tile_1683,Clear Skies,12.45,Autumn,22.694019,0.357694,Temperate Broadleaf & Mixed Forests,2
26_104001001CD3B900_tile_1572,Clear Skies,12.61666667,Spring,23.381859,0.3366125,Temperate Broadleaf & Mixed Forests,3
18_10400100211BDD00_tile_4385,Clear Skies,12.78333333,Autumn,10.872156,0.320573,Temperate Broadleaf & Mixed Forests,3
2_104001003B4B5900_tile_16,Clear Skies,12.85,Spring,28.461687,0.386083,Temperate Broadleaf & Mixed Forests,1
69_104005000CDBE200_tile_1852,Clear Skies,13.23333333,Autumn,17.414585,0.336675,Temperate Broadleaf & Mixed Forests,1
67_104001003F0B3200_tile_1394,Clear Skies,12.93333333,Summer,19.613453,0.3421295,Deserts & Xeric Shrublands,3
45_104001000E6AB500_tile_24,Clear Skies,12.11666667,Summer,12.681813,0.322767,Temperate Broadleaf & Mixed Forests,3
